filial	dt	sku_norm	linha	qtd	valor	margem	custo	vendedor	cliente	ped_app	categorias	sub_categorias
33	02/12/2019	lavaseca110kg	LB	1	2678	357,8500061	2669,72998	V101451	K003511	0	LB - LAVANDERIA	LB - LAVA & SECA
14	25/11/2019	cel3	CL	1	3199	446,4200134	2744,669922	V000186	N81350081	0	CL - SMARTPHONE	CL - PREMIUM
75	09/12/2019	cel5	CL	1	3978,179932	531,2399902	3331,560059	V8731614	H400104	0	CL - SMARTPHONE	CL - PREMIUM
83	28/11/2019	lavaseca210kg	LB	1	2678,310059	371,6400146	2641,929932	V000186	N052245	0	LB - LAVANDERIA	LB - LAVA & SECA
33	02/12/2019	lavaseca110kg	LB	1	2678,310059	384,9200134	2669,72998	V103354	X88120811	1	LB - LAVANDERIA	LB - LAVA & SECA
14	26/12/2019	cel3	CL	1	2899	108,8600006	2704,040039	V8738787878	H522381	1	CL - SMARTPHONE	CL - PREMIUM
7D	20/12/2019	cel5	CL	1	3315	23,57999992	3228,949951	V1048755	K0412814	1	CL - SMARTPHONE	CL - PREMIUM
33	28/11/2019	lavaseca210kg	LB	1	2678,310059	305,1499939	2703,929932	V000186	W510580	0	LB - LAVANDERIA	LB - LAVA & SECA
87	02/12/2019	lavaseca110kg	LB	1	2678,310059	510,2900085	1918,579956	V000186	H451125	0	LB - LAVANDERIA	LB - LAVA & SECA
39	27/12/2019	cel3	CL	1	3411,399902	295,4500122	3291,280029	V1187104	N18188100	0	CL - SMARTPHONE	CL - PREMIUM
14	26/12/2019	cel5	CL	1	2899	-35,83000183	2703,820068	V87387650	H5328101	1	CL - SMARTPHONE	CL - PREMIUM
1	21/12/2019	lavaseca210kg	LB	1	2159	-767,0100098	2704,709961	V1087811	X325100	0	LB - LAVANDERIA	LB - LAVA & SECA
33	26/12/2019	lavaseca110kg	LB	1	2994,389893	449,6300049	2704,709961	V101116	H535153	0	LB - LAVANDERIA	LB - LAVA & SECA
5C	02/01/2020	cel3	CL	1	3221,969971	416,3299866	3086,5	V8731608	B25818102	1	CL - SMARTPHONE	CL - PREMIUM
22	29/11/2019	cel5	CL	1	3399	-9,180000305	3696,72998	V8738787870	B000018	0	CL - SMARTPHONE	CL - PREMIUM
87	28/11/2019	lavaseca210kg	LB	1	2499,899902	427,5599976	1918,680054	V111483	Y28148135	0	LB - LAVANDERIA	LB - LAVA & SECA
33	12/11/2019	lavaseca110kg	LB	1	2860	340,269989	2584,48999	V87387348	K5804381	1	LB - LAVANDERIA	LB - LAVA & SECA
14	01/12/2019	cel3	CL	1	3399	208,7899933	2744,72998	V000186	H4815145	0	CL - SMARTPHONE	CL - PREMIUM
3C	06/11/2019	cel5	CL	1	3260,600098	-110,8600006	3331,560059	V111310	I220183	1	CL - SMARTPHONE	CL - PREMIUM
60	29/11/2019	lavaseca210kg	LB	1	2679	471,8500061	2604,560059	V1187041	B4800381	0	LB - LAVANDERIA	LB - LAVA & SECA
33	29/11/2019	lavaseca110kg	LB	1	2703,550049	344,1799927	2658,689941	V111384	N8111445	0	LB - LAVANDERIA	LB - LAVA & SECA
14	28/11/2019	cel3	CL	1	3379	252,8200073	2744,699951	V106380	H440050	0	CL - SMARTPHONE	CL - PREMIUM
3	02/11/2019	cel5	CL	1	3799	425,480011	3331,560059	V87387101	B132040	1	CL - SMARTPHONE	CL - PREMIUM
25	29/11/2019	lavaseca210kg	LB	2	5356	680,6599731	5433,720215	V105301	M0310815	0	LB - LAVANDERIA	LB - LAVA & SECA
33	29/11/2019	lavaseca110kg	LB	1	2678	378,730011	2658,689941	V8731313	H452310	0	LB - LAVANDERIA	LB - LAVA & SECA
7B	28/12/2019	cel3	CL	1	3321,709961	435,1600037	3291,209961	V101143	B4150081	1	CL - SMARTPHONE	CL - PREMIUM
7A	03/01/2020	cel5	CL	1	3229,669922	-93,22000122	3503,169922	V8731135	O038580	1	CL - SMARTPHONE	CL - PREMIUM
33	29/11/2019	lavaseca210kg	LB	1	2678	396,8099976	2704,709961	V8731100	Z102285	0	LB - LAVANDERIA	LB - LAVA & SECA
33	29/11/2019	lavaseca110kg	LB	1	2678	368,3399963	2658,689941	V000388	H32810181	0	LB - LAVANDERIA	LB - LAVA & SECA
20	03/01/2020	cel3	CL	1	3898,98999	1154,880005	2989,449951	V87387660	M132508	0	CL - SMARTPHONE	CL - PREMIUM
3D	29/11/2019	cel5	CL	1	3402,02002	395,6300049	3331,560059	V111305	N544505	0	CL - SMARTPHONE	CL - PREMIUM
33	30/11/2019	lavaseca210kg	LB	1	2678,310059	318,0899963	2704,709961	V87387458	O453305	1	LB - LAVANDERIA	LB - LAVA & SECA
33	29/11/2019	lavaseca110kg	LB	1	2678,310059	315,8099976	2658,689941	V104131	H455255	0	LB - LAVANDERIA	LB - LAVA & SECA
39	21/12/2019	cel3	CL	1	3315	-38,90000153	3291,429932	V111643	N118323	1	CL - SMARTPHONE	CL - PREMIUM
1D	29/11/2019	cel5	CL	1	3400	460,1600037	3331,560059	V87387146	H380500	0	CL - SMARTPHONE	CL - PREMIUM
33	06/11/2019	lavaseca210kg	LB	1	2820	212,0800018	2584,48999	V0008733	K3805881	0	LB - LAVANDERIA	LB - LAVA & SECA
33	19/11/2019	lavaseca110kg	LB	1	3031,5	552,2000122	2584,48999	V000186	L4008115	0	LB - LAVANDERIA	LB - LAVA & SECA
39	21/12/2019	cel3	CL	1	3316,139893	18,78000069	3291,429932	V1060873	H0554810	1	CL - SMARTPHONE	CL - PREMIUM
14	02/12/2019	cel5	CL	1	3499	225,5899963	2744,47998	V110310	I150502	1	CL - SMARTPHONE	CL - PREMIUM
33	06/11/2019	lavaseca210kg	LB	1	3086,52002	604,5	2584,48999	V1038730	N210353	1	LB - LAVANDERIA	LB - LAVA & SECA
33	29/11/2019	lavaseca110kg	LB	1	2678	354,5700073	2658,689941	V8731381	B042520	1	LB - LAVANDERIA	LB - LAVA & SECA
14	29/11/2019	cel3	CL	1	3199	-11,61999989	2744,699951	V101031	N235028	0	CL - SMARTPHONE	CL - PREMIUM
13	23/12/2019	cel5	CL	1	3311,560059	240,7899933	3037,590088	V8731458	M545005	0	CL - SMARTPHONE	CL - PREMIUM
97	01/12/2019	lavaseca210kg	LB	1	2681,820068	189,3500061	1952,410034	V8731310	X548541	0	LB - LAVANDERIA	LB - LAVA & SECA
33	25/11/2019	lavaseca110kg	LB	1	2678,310059	-7,190000057	2584,48999	V001031	K805080	1	LB - LAVANDERIA	LB - LAVA & SECA
14	29/11/2019	cel3	CL	1	3199	24,02000046	2744,699951	V87315487	H45081815	1	CL - SMARTPHONE	CL - PREMIUM
14	24/12/2019	cel5	CL	1	2899	24,28000069	2703,820068	V000186	X0145812	0	CL - SMARTPHONE	CL - PREMIUM
66	10/11/2019	lavaseca210kg	LB	1	2814,850098	262	1918,199951	V11878744	X154040	1	LB - LAVANDERIA	LB - LAVA & SECA
33	25/11/2019	lavaseca110kg	LB	1	2678,310059	254,2200012	2584,48999	V001031	K805080	0	LB - LAVANDERIA	LB - LAVA & SECA
